Business Name,Address,City,State,Zip Code,Longitude,Latitude
Everyday People Yoga,352 W. 12th Avenue,Eugene,OR,97401,-123.098084,44.046307
Reflections Salon,91049 South Willamette,Coburg,OR,97408,-123.065833,44.136608
Valley River Inn,1000 Valley River Way,Eugene,OR,97401,-123.102253,44.065724
Arriving By Bike,2705 Willamette St,Eugene,OR,97405,-123.090342,44.028776
Bike Friday,3364 W 11th Ave.,Eugene,OR,97402,-123.142143,44.047248
Co-Motion Cycles,4765 Pacific Ave,Eugene,OR,97402,-123.181784,44.057681
Klink Cycles,909 River Rd.,Eugene,OR,97404,-123.119931,44.076688
Life Cycle Bike Shop,1733 Pearl St. Suite B,Eugene,OR,97401,-123.089402,44.040686
Simply Cycle,303 Main Street,Springfield,OR,97477,-123.148718,44.049073
Capella Market,2489 Willamette St,Eugene,OR,97405,-123.090364,44.031752
Main Street Market,330 Main Street,Springfield,OR,97477,-123.004951,44.046253
Mohawk General Store,91130 Donna Rd.,Springfield,OR,97478,-122.916906,44.141897
Sundance Natural Foods,748 E. 24th Ave.,Eugene,OR,97405,-123.081343,44.033241
Crumb Together,980 Oak St.,Eugene,OR,97401,-123.091312,44.049062
16 Tons Cafe,2864 Willamette St. #500,Eugene,OR,97405,-123.090902,44.02691
Washburne Cafe,326 Main St.,Springfield,OR,97477,-123.02179,44.046441
Morning Glory Cafe,450 Willamette St.,Eugene,OR,97401,-123.092915,44.054885
Noisette Pastry Kitchen,200 W Broadway,Eugene,OR,97401,-123.095972,44.049796
Pig & Turnip,418 A St.,Springfield,OR,97477,-123.020407,44.047312
Viva! Vegetarian Grill,1171 Willamette St.,Eugene,OR,97401,-123.084,44.0615
Blair Family & Sports Chiropractic,1185 Arther St.,Eugene,OR,97402,-123.124476,44.047044
McKenzie Orchards Bed & Breakfast,34694 McKenzie View Drive,Springfield,OR,97478,-122.986796,44.082419
Willamalane Adult Activity Center,215 W C St.,Springfield,OR,97477,-123.02801,44.047997
City of Springfield City Hall,225 5th St.,Springfield,OR,97477,-123.019514,44.047435
Courtesy Inn,345 W. 6th Ave.,Eugene,OR,97401,-123.098029,44.053528
Inn at the 5th,205 E. 6th Ave.,Eugene,OR,97401,-123.089247,44.053866
Splash! Lively Park Swim Center,6100 Thurston Rd.,Springfield,OR,97478,-122.917828,44.054873
Willamalane Park Swim Center,1276 G St.,Springfield,OR,97477,-122.967383,44.039072
"Bicycle Way of Life, Inc.",556 Charnelton Street,Eugene,OR,97401,-123.080754,44.032751
Paul's Bicycle Way of Life – Downtown,556 Charnelton Street,Eugene,OR,97401,-123.096149,44.053691
Paul's Bicycle Way of Life – South Eugene,2480 Alder St,Eugene,OR,97405,-123.0808998,44.0326695
Rolf Prima,150 Shelton McMurphey Blvd. Ste 101,Eugene,OR,97401,-123.0974795,44.0560571
REI - Eugene,306 Lawrence St.,Eugene,OR,97401,-123.099444,44.05638
The Duck Store,895 E 13th Ave.,Eugene,OR,97403,-123.078961,44.045838
Shelton McMurphey Johnson House,303 Willamette Street,Eugene,OR,97401,-123.092577,44.055042
Full City Coffee Roasters - High St. Cafe,295 E 13th Ave.,Eugene,OR,97401,-123.154571,44.045338
Coburg Pizza Company & Nana's Caffé,90999 S Willamette Street,Coburg,OR,97408,-122.999214,44.056507
Friendly Street Market & Party on Friendly,2757 Friendly Street,Eugene,OR,97405,-123.105152,44.028345
Mezza Luna Pizzeria - Crescent Village,2776 Shadow View Drive,Eugene,OR,97408,-123.060329,44.092954
Mezza Luna Pizzeria - Downtown,933 Pearl Street,Eugene,OR,97401,-123.089468,44.049483
Screamin' Jay's,1398 Kincaid St.,Eugene,OR,97405,-123.093025,44.054565
Falling Sky Brew House,1334 Oak Alley,Eugene,OR,97401,-123.092322,44.04527
Ninkasi Brewing Company,272 Van Buren St.,Eugene,OR,97402,-123.111736,44.058227
Oakshire Brewing Public House,207 Madison Street,Eugene,OR,97402,-123.102936,44.05751
The Bier Stein Bottleshop & Pub,1591 Willamette St.,Eugene,OR,97401,-123.092325,44.042413
Oregon Wine LAB,488 Lincoln Street,Eugene,OR,97401,-123.09768,44.054612
Eugene Vineyard Church,1145 Willagillespie Rd,Eugene,OR,97402,-123.1020824,44.0719474
Jenny's Hair and Company,95 E 25th Ave,Eugene,OR,97405,-123.091991,44.0315032
Pony House Inn Suites & Cottages,660 C St.,Springfield,OR,97477,-123.0192809,44.0490104
Velo Bed and Breakfast,86211 Bailey Hill Road,Eugene,OR,97405,-123.1710371,44.0016729
Bob Keefer Center for Sports and Recreation,250 S 32nd St.,Springfield,OR,97478,-122.984508,44.0419055
"Eugene, Cascades & Coast Visitor Center - Travel Lane County",754 Olive Street,Eugene,OR,97401,-123.0966627,44.0514688
Fox Springs Farm,28810 Fox Hollow Rd,Eugene,OR,97405,-123.205838,43.9372411
McKenzie River Lavender,40882 McKenzie Hwy.,Springfield,OR,97478,-122.7515847,44.0797518
Eugene Whiteaker International Hostel,970 W 3rd Avenue,Eugene,OR,97402,-123.1095967,44.0562368
Marina's Art Studio,2650 Willamette St.,Eugene,OR,97405,-123.0932193,44.0294294
Hutch's - Eugene,960 Charnelton St.,Eugene,OR,97401,-123.0983495,44.049264
Hutch's - Springfield,2100 Main St.,Springfield,OR,97477,-122.9964587,44.0460575
Len's Bikes,156 S 20th St. Unit C,Springfield,OR,97477,-122.9981135,44.0453903
Johnson Brothers Greenhouses,91444 Coburg Rd,Eugene,OR,97408,-123.0931468,44.1448203
Coburg Pizza Company,1710 Centennial Blvd.,Springfield,OR,97477,-123.0013822,44.0564746
Off The Waffle - South Eugene,2540 Willamette St.,Eugene,OR,97405,-123.0934213,44.0308933
Claim 52 Brewing - Brewery & Taproom,"1030 Tyinn Street, Suite 1",Eugene,OR,97042,-123.1402729,44.0490418
Falling Sky Pour House & Delicatessen,790 Blair Blvd,Eugene,OR,97402,-123.1076197,44.0510678
Plank Town Brewing Company,346 Main St.,Springfield,OR,97477,-123.0231787,44.0463897
Sam Bond's Brewing Company,540 E 8th Ave,Eugene,OR,97401,-123.0869063,44.0507577
