Business Name,Address,City,State,Zip Code,Longitude,Latitude
Everyday People Yoga,352 W. 12th Avenue,Eugene,OR,97401,-123.098084,44.046307
Reflections Salon,91049 South Willamette,Coburg,OR,97408,-123.065833,44.136608
Sand Master Park,4981 Oregon Coast Hwy,Florence,OR,97439,-124.10239,44.009984
Cascade Motel,47487 Hwy. 58,Oakridge,OR,97463,-122.489153,43.747399
Valley River Inn,1000 Valley River Way,Eugene,OR,97401,-123.102253,44.065724
Wayfarer Resort,46725 Goodpasture Road,Vida,OR,97488,-122.528835,44.126453
Sea Lion Caves,91560 Hwy 101,Florence,OR,97439,-124.125155,44.118995
Arriving By Bike,2705 Willamette St,Eugene,OR,97405,-123.090342,44.028776
Bike Friday,3364 W 11th Ave.,Eugene,OR,97402,-123.142143,44.047248
Co-Motion Cycles,4765 Pacific Ave,Eugene,OR,97402,-123.181784,44.057681
Klink Cycles,909 River Rd.,Eugene,OR,97404,-123.119931,44.076688
Life Cycle Bike Shop,1733 Pearl St. Suite B,Eugene,OR,97401,-123.089402,44.040686
Simply Cycle,303 Main Street,Springfield,OR,97477,-123.148718,44.049073
Capella Market,2489 Willamette St,Eugene,OR,97405,-123.090364,44.031752
Main Street Market,330 Main Street,Springfield,OR,97477,-123.004951,44.046253
Mohawk General Store,91130 Donna Rd.,Springfield,OR,97478,-122.916906,44.141897
Sundance Natural Foods,748 E. 24th Ave.,Eugene,OR,97405,-123.081343,44.033241
Crumb Together,980 Oak St.,Eugene,OR,97401,-123.091312,44.049062
16 Tons Cafe,2864 Willamette St. #500,Eugene,OR,97405,-123.090902,44.02691
Washburne Cafe,326 Main St.,Springfield,OR,97477,-123.02179,44.046441
Creswell Bakery,182 S 2nd Street,Creswell,OR,97426,-123.020746,43.916317
Morning Glory Cafe,450 Willamette St.,Eugene,OR,97401,-123.092915,44.054885
Noisette Pastry Kitchen,200 W Broadway,Eugene,OR,97401,-123.095972,44.049796
Pig & Turnip,418 A St.,Springfield,OR,97477,-123.020407,44.047312
Viva! Vegetarian Grill,1171 Willamette St.,Eugene,OR,97401,-123.084,44.0615
Middlefield Golf Course,91 Village Drive,Cottage Grove,OR,97424,-123.038512,43.806127
Blair Family & Sports Chiropractic,1185 Arther St.,Eugene,OR,97402,-123.124476,44.047044
McKenzie Orchards Bed & Breakfast,34694 McKenzie View Drive,Springfield,OR,97478,-122.986796,44.082419
Willamalane Adult Activity Center,215 W C St.,Springfield,OR,97477,-123.02801,44.047997
City of Springfield City Hall,225 5th St.,Springfield,OR,97477,-123.019514,44.047435
Cottage Grove Area Chamber of Commerce,700 E Gibbs Suite C,Cottage Grove,OR,97424,-123.060668,43.79912
Heceta Beach RV Park,4636 Heceta Beach Road,Florence,OR,97439,-124.128188,44.032403
Port of Siuslaw Campground Park & Marina,100 Harbor St.,Florence,OR,97439,-124.100646,43.969303
Arbor Inn Motel Oakridge,48229 Hwy. 58,Oakridge,OR,97463,-122.459772,43.741511
Caddisfly Resort,56404 McKenzie Hwy.,McKenzie Bridge,OR,97413,-122.162349,44.173953
Courtesy Inn,345 W. 6th Ave.,Eugene,OR,97401,-123.098029,44.053528
Horse Creek Lodge & Outfitters,56228 Delta Drive,McKenzie Bridge,OR,97413,-122.168896,44.171553
Inn at the 5th,205 E. 6th Ave.,Eugene,OR,97401,-123.089247,44.053866
McKenzie River Mountain Resort,51668 Blue River Drive,Blue River,OR,97488,-122.4892,44.1331
Splash! Lively Park Swim Center,6100 Thurston Rd.,Springfield,OR,97478,-122.917828,44.054873
Willamalane Park Swim Center,1276 G St.,Springfield,OR,97477,-122.967383,44.039072
"Bicycle Way of Life, Inc.",556 Charnelton Street,Eugene,OR,97401,-123.080754,44.032751
Paul's Bicycle Way of Life – Downtown,556 Charnelton Street,Eugene,OR,97401,-123.096149,44.053691
Paul's Bicycle Way of Life – South Eugene,2480 Alder St,Eugene,OR,97405,-123.0808998,44.0326695
Rainy Peak Bicycles,533 East Main Street,Cottage Grove,OR,97424,-123.062505,43.797068
Rolf Prima,150 Shelton McMurphey Blvd. Ste 101,Eugene,OR,97401,-123.0974795,44.0560571
REI - Eugene,306 Lawrence St.,Eugene,OR,97401,-123.099444,44.05638
The Duck Store,895 E 13th Ave.,Eugene,OR,97403,-123.078961,44.045838
Shelton McMurphey Johnson House,303 Willamette Street,Eugene,OR,97401,-123.092577,44.055042
Full City Coffee Roasters - High St. Cafe,295 E 13th Ave.,Eugene,OR,97401,-123.154571,44.045338
Coburg Pizza Company & Nana's Caffé,90999 S Willamette Street,Coburg,OR,97408,-122.999214,44.056507
Friendly Street Market & Party on Friendly,2757 Friendly Street,Eugene,OR,97405,-123.105152,44.028345
Mezza Luna Pizzeria - Crescent Village,2776 Shadow View Drive,Eugene,OR,97408,-123.060329,44.092954
Mezza Luna Pizzeria - Downtown,933 Pearl Street,Eugene,OR,97401,-123.089468,44.049483
Our Daily Bread,88170 Territorial Rd.,Veneta,OR,97487,-123.352,44.0484
Screamin' Jay's,1398 Kincaid St.,Eugene,OR,97405,-123.093025,44.054565
Takoda's Restaurant,91806 Mill Creek Rd.,Blue River,OR,97413,-122.221999,44.173198
Falling Sky Brew House,1334 Oak Alley,Eugene,OR,97401,-123.092322,44.04527
Ninkasi Brewing Company,272 Van Buren St.,Eugene,OR,97402,-123.111736,44.058227
Oakshire Brewing Public House,207 Madison Street,Eugene,OR,97402,-123.102936,44.05751
The Bier Stein Bottleshop & Pub,1591 Willamette St.,Eugene,OR,97401,-123.092325,44.042413
Oregon Wine LAB,488 Lincoln Street,Eugene,OR,97401,-123.09768,44.054612
McKenzie River Mountain Resort Adventures,51668 Blue River Dr.,Blue River,OR,97413,-122.4892,44.1331
Horse Creek Lodge Shuttle,56228 Delta Drive,McKenzie Bridge,OR,97413,-122.168896,44.171553
