Business Name,Address,City,State,Zip Code
Eugene Vineyard Church,3455 Royal Ave.,Eugene,OR,97402
Jenny's Hair and Company,2833 Willamette St.,Eugene,OR,97405
Lauren's Place,10987 E. Mapleton Road,Mapleton,OR,97453
Lily of the Field B&B,35722 Ross Lane,Cottage Grove,OR,97424
McKenzie River Round House B&B,49885 McKenzie Hwy.,Vida,OR,97488
Pony House Inn Suites & Cottages,660 C St.,Springfield,OR,97477
Territorial Farm Stay and Stable,93987 Territorial Hwy,Junction City,OR,97448
Velo Bed and Breakfast,86211 Bailey Hill Road,Eugene,OR,97405
Westfir Lodge & Mountain Market,47365 1st Street,Westfir,OR,97492
Bob Keefer Center for Sports and Recreation,250 S 32nd St.,Springfield,OR,97478
"Eugene, Cascades & Coast Visitor Center - Travel Lane County",754 Olive Street,Eugene,OR,97401
Fox Springs Farm,28810 Fox Hollow Rd,Eugene,OR,97405
McKenzie River Lavender,40882 McKenzie Hwy.,Springfield,OR,97478
Eugene Whiteaker International Hostel,970 W 3rd Avenue,Eugene,OR,97402
Belknap Hot Springs Lodge and Gardens,59296 Belknap Springs Road,McKenzie Bridge,OR,97413
Loloma Lodge,56687 McKenzie Hwy.,McKenzie Bridge,OR,97413
The Village Green Hotel,725 Row River Road,Cottage Grove,OR,97424
Marina's Art Studio,2650 Willamette St.,Eugene,OR,97405
Hutch's - Eugene,960 Charnelton St.,Eugene,OR,97401
Hutch's - Springfield,2100 Main St.,Springfield,OR,97477
Len's Bikes,156 S 20th St.,Springfield,OR,97477
Johnson Brothers Greenhouses,91444 Coburg Rd,Eugene,OR,97408
Coburg Pizza Company,1710 Centennial Blvd.,Springfield,OR,97477
McKenzie General Store & Obsidian Grill Restaurant,91837 Taylor Rd.,McKenzie Bridge,OR,97413
Off The Waffle - South Eugene,2540 Willamette St.,Eugene,OR,97405
Stewart's 58 Drive-In Restaurant,47434 Highway 58,Oakridge,OR,97463
3 Legged Crane Pub & Brewhouse,48329 E. 1st St.,Oakridge,OR,97463
Claim 52 Brewing - Brewery & Taproom,1030 Tyinn Street,Eugene,OR,97042
Falling Sky Pour House & Delicatessen,790 Blair Blvd,Eugene,OR,97402
Plank Town Brewing Company,346 Main St.,Springfield,OR,97477
Sam Bond's Brewing Company,540 E 8th Ave,Eugene,OR,97401
Cog Wild (shuttle service),48080 Highway 58,Oakridge,OR,97463
